model,freeze,head_type,subset_ratio,pct_data,seed,n_train,f1,auroc,clip_f1,clip_auroc,run_id
vits16_gastronet,finetune,linear,1.0,100,42,8199,0.718,0.944,0.718,0.944,1cfae61ddd11412f8a58428aa2d88555
resnet50_200K,finetune,linear,1.0,100,42,8199,0.712,0.934,0.712,0.934,40607fe52f504e2f966304253fac386d
resnet50_1M,finetune,linear,1.0,100,42,8199,0.709,0.927,0.709,0.927,c7aafde4a4e342ac8f81917d160ef117
resnet50_5M,finetune,linear,1.0,100,42,8199,0.727,0.94,0.727,0.94,78af117983cb427780d79315d11785fd
efficientnetb0,finetune,linear,1.0,100,84,8199,0.673,0.923,0.673,0.923,4e532ddf149f4a88b976c0d3d0969e78
vits16_imagenet,finetune,linear,1.0,100,84,8199,0.696,0.933,0.696,0.933,aa0d9fad27b94993bd35170f21cc7605
resnet50_imagenet,finetune,linear,1.0,100,84,8199,0.711,0.928,0.711,0.928,7a13cc9d30f74656a2f81faae3de3e29
vits16_gastronet,finetune,linear,1.0,100,84,8199,0.724,0.942,0.724,0.942,e4324d2b7c8e4a98a5b90a9eb0e07c07
resnet50_200K,finetune,linear,1.0,100,84,8199,0.708,0.933,0.708,0.933,8b1e8e3d70254209a70fea67493347e9
resnet50_1M,finetune,linear,1.0,100,84,8199,0.707,0.927,0.707,0.927,d0fd593243fe4177983edbebf09b67b3
resnet50_5M,finetune,linear,1.0,100,84,8199,0.72,0.94,0.72,0.94,beea33b6f90f4277bbc03e446f0bfefd
efficientnetb0,finetune,linear,1.0,100,128,8199,0.687,0.925,0.687,0.925,a1ad9d0568bb4ed1a96967aa29863ca1
vits16_imagenet,finetune,linear,1.0,100,128,8199,0.689,0.931,0.689,0.931,f0ac1e984d634f978b69768c6081c4ae
resnet50_imagenet,finetune,linear,1.0,100,128,8199,0.685,0.925,0.685,0.925,892effb9f0474e96ba9af8acbbc7dfad
vits16_gastronet,finetune,linear,1.0,100,128,8199,0.733,0.945,0.733,0.945,9a230189255849fb8184569da49f5d51
resnet50_200K,finetune,linear,1.0,100,128,8199,0.715,0.935,0.715,0.935,6b979d017afa4ec395565560048e5b7a
resnet50_1M,finetune,linear,1.0,100,128,8199,0.704,0.933,0.704,0.933,9f7b5318232243d681f598fdc6f5991d
resnet50_5M,finetune,linear,1.0,100,128,8199,0.717,0.939,0.717,0.939,1578c3e7a73d48fba9f5e0e67687b6f9
efficientnetb0,finetune,linear,1.0,100,256,8199,0.687,0.924,0.687,0.924,77bedd584f184f89a07d41269798343e
vits16_imagenet,finetune,linear,1.0,100,256,8199,0.706,0.936,0.706,0.936,fb715ae307cc469c89b495f2904c75a7
resnet50_imagenet,finetune,linear,1.0,100,256,8199,0.687,0.928,0.687,0.928,c19875ebf6c74bd4b1b244dc8bcf9d53
vits16_gastronet,finetune,linear,1.0,100,256,8199,0.727,0.943,0.727,0.943,b7ec4f020ece4ee4b6a58a65be9b1e45
resnet50_200K,finetune,linear,1.0,100,256,8199,0.698,0.931,0.698,0.931,4a8b8cdf1260409c858f711c30419dc4
