model,freeze,head_type,subset_ratio,pct_data,seed,n_train,f1,auroc,clip_f1,clip_auroc,micro_f1,macro_f1,clin_sensitivity,clin_specificity,clin_f1,checkpoint_dir,sens_mayo0,sens_mayo1,sens_mayo2,sens_mayo3,spec_mayo0,spec_mayo1,spec_mayo2,spec_mayo3
resnet50_200K,finetune,linear,0.25,25,84,1809,0.418,0.759,0.344,0.802,0.6198250728862974,0.41729308395729003,0.6429906542056075,0.8720338983050847,0.6679611650485436,output/mes/models/resnet50_200K/0/linear/20260606_071636,0.8976793248945147,0.20689655172413793,0.02702702702702703,0.6527196652719666,0.6205997392438071,0.9797707349966285,0.9224806201550387,0.8502710027100271
resnet50_5M,finetune,linear,0.25,25,84,1809,0.324,0.709,0.312,0.791,0.4402332361516035,0.3245612697096444,0.8822429906542056,0.5601694915254237,0.6186107470511141,output/mes/models/resnet50_5M/0/linear/20260606_072631,0.4978902953586498,0.19827586206896552,0.02027027027027027,0.9665271966527197,0.9074315514993481,0.908968307484828,0.9260042283298098,0.5602981029810298
vits16_imagenet,finetune,linear,0.25,25,128,1946,0.235,0.55,0.318,0.561,0.317201166180758,0.2350475025945963,0.5420560747663551,0.3788135593220339,0.3722721437740693,output/mes/models/vits16_imagenet/0/linear/20260606_073344,0.3924050632911392,0.01293103448275862,0.34121621621621623,0.28451882845188287,0.6766623207301173,0.9534726904922455,0.5743481324876674,0.8306233062330624
resnet50_imagenet,finetune,linear,0.25,25,128,1946,0.155,0.616,0.118,0.71,0.19708454810495626,0.15457581823712652,0.10467289719626169,0.8932203389830509,0.15620641562064155,output/mes/models/resnet50_imagenet/0/linear/20260606_073958,0.08122362869198312,0.9181034482758621,0.15202702702702703,0.012552301255230125,0.9674054758800521,0.17869184086311532,0.9083861874559549,0.997289972899729
efficientnetb0,finetune,linear,0.25,25,128,1946,0.274,0.554,0.21,0.61,0.5166180758017492,0.2745350417593624,0.36074766355140186,0.7364406779661017,0.37151106833493747,output/mes/models/efficientnetb0/0/linear/20260606_073321,0.8132911392405063,0.0,0.3277027027027027,0.07531380753138076,0.43285528031290743,0.9966284558327714,0.7681465821000705,0.959349593495935
resnet50_200K,finetune,linear,0.25,25,128,1946,0.279,0.554,0.343,0.66,0.441399416909621,0.2794107168476389,0.5401869158878505,0.6322033898305085,0.4594594594594595,output/mes/models/resnet50_200K/0/linear/20260606_074621,0.6434599156118144,0.004310344827586207,0.11824324324324324,0.46443514644351463,0.5488917861799217,0.9763991908293999,0.780831571529246,0.8197831978319783
vits16_gastronet,finetune,linear,0.25,25,128,1946,0.282,0.578,0.299,0.712,0.4134110787172012,0.28253037312189744,0.3514018691588785,0.5720338983050848,0.30618892508143325,output/mes/models/vits16_gastronet/0/linear/20260606_074445,0.6265822784810127,0.0603448275862069,0.09121621621621621,0.30962343096234307,0.485006518904824,0.9871881321645314,0.6659619450317125,0.9200542005420054
resnet50_5M,finetune,linear,0.25,25,128,1946,0.288,0.551,0.422,0.675,0.41049562682215746,0.28843282991890495,0.47289719626168225,0.559322033898305,0.38685015290519875,output/mes/models/resnet50_5M/0/linear/20260606_075858,0.5717299578059072,0.06896551724137931,0.10135135135135136,0.48535564853556484,0.6245110821382008,0.935266351989211,0.7610993657505285,0.8048780487804879
resnet50_1M,finetune,linear,0.25,25,128,1946,0.315,0.585,0.311,0.681,0.5061224489795918,0.31576926100276437,0.5607476635514018,0.7389830508474576,0.5249343832020997,output/mes/models/resnet50_1M/0/linear/20260606_075849,0.7478902953586498,0.021551724137931036,0.09797297297297297,0.5230125523012552,0.5684485006518905,0.9581928523263655,0.8569415081042988,0.8299457994579946
vits16_imagenet,finetune,linear,0.25,25,256,1942,0.302,0.586,0.187,0.652,0.46880466472303206,0.3026463932053422,0.497196261682243,0.6847457627118644,0.453537936913896,output/mes/models/vits16_imagenet/0/linear/20260606_080937,0.6877637130801688,0.021551724137931036,0.23310810810810811,0.3263598326359833,0.5501955671447197,0.9494268374915711,0.806906272022551,0.8529810298102981
